id,job_title,location,connection,fit,final_revised_grade
1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
2,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,0
3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
4,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
5,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,0
6,Aspiring Human Resources Specialist,Greater New York City Area,1,,3
7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
8,HR Senior Specialist,San Francisco Bay Area,500+ ,,2
9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,3
11,Student at Chapman University,"Lake Forest, California",2,,0
12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,1
13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,2
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
16,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,0
17,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
18,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
20,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,0
21,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
22,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
23,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,0
24,Aspiring Human Resources Specialist,Greater New York City Area,1,,3
25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
26,HR Senior Specialist,San Francisco Bay Area,500+ ,,2
27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,3
28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,3
29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,3
30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,3
31,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
32,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,0
33,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
34,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
35,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,0
36,Aspiring Human Resources Specialist,Greater New York City Area,1,,3
37,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
38,HR Senior Specialist,San Francisco Bay Area,500+ ,,2
39,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
40,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,3
41,Student at Chapman University,"Lake Forest, California",2,,0
42,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,1
43,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,2
44,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
45,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,0
46,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
47,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
48,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,0
49,Aspiring Human Resources Specialist,Greater New York City Area,1,,3
50,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
51,HR Senior Specialist,San Francisco Bay Area,500+ ,,2
52,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,2
53,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,3
54,Student at Chapman University,"Lake Forest, California",2,,0
55,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,1
56,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,2
57,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2
58,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,3
59,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,1
60,Aspiring Human Resources Specialist,Greater New York City Area,1,,3
61,HR Senior Specialist,San Francisco Bay Area,500+ ,,2
62,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,3
63,Student at Chapman University,"Lake Forest, California",2,,0
64,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,1
65,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,2
66,Experienced Retail Manager and aspiring Human Resources Professional,"Austin, Texas Area",57,,2
67,"Human Resources, Staffing and Recruiting Professional","Jackson, Mississippi Area",500+ ,,2
68,Human Resources Specialist at Luxottica,Greater New York City Area,500+ ,,2
69,"Director of Human Resources North America, Groupe Beneteau","Greater Grand Rapids, Michigan Area",500+ ,,2
70,"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.","Virginia Beach, Virginia",82,,2
71,"Human Resources Generalist at ScottMadden, Inc.","Raleigh-Durham, North Carolina Area",500+ ,,2
72,Business Management Major and Aspiring Human Resources Manager,"Monroe, Louisiana Area",5,,2
73,"Aspiring Human Resources Manager, seeking internship in Human Resources.","Houston, Texas Area",7,,3
74,Human Resources Professional,Greater Boston Area,16,,2
75,"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621","San Jose, California",500+ ,,2
76,Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,"New York, New York",212,,2
77,"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",Dallas/Fort Worth Area,409,,2
78,Human Resources Generalist at Schwan's,Amerika Birleşik Devletleri,500+ ,,2
79,Liberal Arts Major. Aspiring Human Resources Analyst.,"Baton Rouge, Louisiana Area",7,,2
80,Junior MES Engineer| Information Systems,"Myrtle Beach, South Carolina Area",52,,0
81,Senior Human Resources Business Partner at Heil Environmental,"Chattanooga, Tennessee Area",455,,2
82,Aspiring Human Resources Professional | An energetic and Team-Focused Leader,"Austin, Texas Area",174,,2
83,HR Manager at Endemol Shine North America,"Los Angeles, California",268,,2
84,Human Resources professional for the world leader in GIS software,"Highland, California",50,,2
85,RRP Brand Portfolio Executive at JTI (Japan Tobacco International),Greater Philadelphia Area,500+ ,,0
86,Information Systems Specialist and Programmer with a love for data and organization.,"Gaithersburg, Maryland",4,,0
87,Bachelor of Science in Biology from Victoria University of Wellington,"Baltimore, Maryland",40,,0
88,Human Resources Management Major,"Milpitas, California",18,,2
89,Director Human Resources  at EY,Greater Atlanta Area,349,,2
90,Undergraduate Research Assistant at Styczynski Lab,Greater Atlanta Area,155,,0
91,Lead Official at Western Illinois University,Greater Chicago Area,39,,0
92,Seeking employment opportunities within Customer Service or Patient Care,"Torrance, California",64,,0
93,Admissions Representative at Community medical center long beach,"Long Beach, California",9,,0
94,Seeking Human  Resources Opportunities. Open to travel and relocation.,Amerika Birleşik Devletleri,415,,2
95,Student at Westfield State University,"Bridgewater, Massachusetts",57,,0
96,"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint","Lafayette, Indiana",19,,0
97,Aspiring Human Resources Professional,"Kokomo, Indiana Area",71,,2
98,Student,"Houston, Texas Area",4,,0
99,Seeking Human Resources Position,"Las Vegas, Nevada Area",48,,2
